id,name,operating_agency_phone,website_url
1,영등포구치매안심센터,02-831-0855,https://www.naver.com
2,청양군치매안심센터,041-940-4500,https://www.naver.com
3,하동군치매안심센터,055-880-6850,https://www.naver.com
4,강원특별자치도동해시치매안심센터,033-530-2426,https://www.naver.com
5,시흥시 치매안심센터(연성센터),031-310-6825,https://www.naver.com
6,시흥시 치매안심센터(정왕센터),031-310-5930,https://www.naver.com
7,시흥시 치매안심센터(대야신천센터),031-310-5857,https://www.naver.com
8,경주시 치매상담센터,054-760-2950,https://www.naver.com
9,금산군치매안심센터,041-750-4300,https://www.naver.com
10,신안군치매안심센터,061-240-8081,https://www.naver.com
11,미추홀돌봄의집,032-883-0310,https://www.naver.com
12,[분소]제주도서귀포시치매안심센터(중문분소),064-760-6555,https://www.naver.com
13,[분소]서귀포시동부치매안심센터(성산분소),064-760-6477,https://www.naver.com
14,[분소]서귀포시동부치매안심센터(표선분소),064-760-6365,https://www.naver.com
15,동구보건소 치매안심센터,053-662-3175,https://www.naver.com
16,김제시 치매안심센터,063-547-4000,https://www.naver.com
17,대전서구치매안심센터,042-288-4470,https://www.naver.com
18,중구치매안심센터,02-2238-3400,https://www.naver.com
19,부산광역시 강서구 치매안심센터,051-970-2600,https://www.naver.com
20,오산시치매안심센터,031-8036-6633,https://www.naver.com
21,음성군치매안심센터,043-872-2136,https://www.naver.com
22,서초구치매안심센터,02-591-1833,https://www.naver.com
23,부산광역시 동래구 치매안심센터,051-555-6767,https://www.naver.com
24,부산광역시 해운대구,051-749-0770,https://www.naver.com
25,광진구치매안심센터,02-450-1381,https://www.naver.com
26,상주시치매안심센터,054-537-6514,https://www.naver.com
27,연천군치매안심센터,031-839-4165,https://www.naver.com
28,서천군 치매안심센터,041-950-6741,https://www.naver.com
29,무안군치매안심센터,061-450-5075,https://www.naver.com
30,광명시치매안심센터,02-2680-5830,https://www.naver.com
31,옹진군치매안심센터,032-899-3670,https://www.naver.com
32,의왕시치매안심센터,031-345-3851,https://www.naver.com
33,동구 치매안심센터,042-621-6011,https://www.naver.com
34,서울특별시 중랑구치매안심센터,02-435-7540,https://www.naver.com
35,의정부시보건소 치매상담센터,031-870-6121,https://www.naver.com
36,광주광역시광역치매센터,062-226-2181,https://www.naver.com
37,용인시처인구치매안심센터,031-324-2700,https://www.naver.com
38,용인시기흥구치매안심센터,031-324-6157,https://www.naver.com
39,용인시수지구치매안심센터,031-324-8446,https://www.naver.com
40,북부치매안심센터,031-887-3691,https://www.naver.com
41,거제시 치매안심센터,055-639-6226,https://www.naver.com
42,합천군 치매안심센터,055-930-4091,https://www.naver.com
43,동작구치매안심센터,02-598-6088,https://www.naver.com
44,무안군치매안심센터,061-450-5075,https://www.naver.com
45,함평군치매안심센터,061-320-2390,https://www.naver.com
46,영광군치매안심센터,061-350-4806,https://www.naver.com
47,장성군치매안심센터,061-390-7161,https://www.naver.com
48,완도군치매안심센터,061-550-5810,https://www.naver.com
49,진도군치매안심센터,061-540-6964,https://www.naver.com
50,신안군치매안심센터,061-243-8081,https://www.naver.com
51,중구치매안심센터,051-600-4688,https://www.naver.com
52,예천군치매안심센터,054-650-8100,https://www.naver.com
53,가평군치매안심센터,031-580-2849,https://www.naver.com
54,목포시 치매안심센터,061-270-4271,https://www.naver.com
55,영천시치매안심센터,054-339-7845,https://www.naver.com
56,서귀포시서부보건소치매안심센터,064-760-6249,https://www.naver.com
57,서귀포보건소치매안심센터,064-760-6555,https://www.naver.com
58,서귀포시동부보건소치매안심센터,064-760-6141,https://www.naver.com
59,대구남구치매안심센터,053-664-3694,https://www.naver.com
60,보건소치매센터,055-860-8791,https://www.naver.com
61,대덕구치매안심센터,042-608-4491,https://www.naver.com
62,용산구치매안심센터,02-790-1541,https://www.naver.com
63,고흥군치매안심센터,061-830-6969,https://www.naver.com
64,보성군치매안심센터,061-850-8695,https://www.naver.com
65,화순군치매안심센터,061-379-5317,https://www.naver.com
66,장흥군치매안심센터,061-860-6498,https://www.naver.com
67,강진군치매안심센터,061-430-5294,https://www.naver.com
68,해남군치매안심센터,061-531-3703,https://www.naver.com
69,영암군치매안심센터,061-470-6030,https://www.naver.com
70,광주광역시 남구 치매안심센터,062-607-4361,https://www.naver.com
71,경상북도 광역치매센터,054-777-6400,https://www.naver.com
72,경상북도고령군치매안심센터,054-950-7961,https://www.naver.com
73,서구 치매안심센터,062-350-4759,https://www.naver.com
74,[분소]서귀포시서부치매안심센터(안덕분소),064-760-0975,https://www.naver.com
75,북구 치매상담센터,051-309-5281,https://www.naver.com
76,통영시 치매센터,055-650-6100,https://www.naver.com
77,여수시치매안심센터,061-659-5440,https://www.naver.com
78,공주시치매안심센터,041-840-8811,https://www.naver.com
79,함양군 치매안심센터,055-960-5355,https://www.naver.com
80,장흥군보건소 치매안심센터,061-860-6498,https://www.naver.com
81,덕양구보건소치매안심센터,031-8075-4800,https://www.naver.com
82,일산동구보건소치매안심센터,031-8075-4850,https://www.naver.com
83,부산광역시남구치매안심센터,051-607-3771,https://www.naver.com
84,화천군 치매안심센터,033-440-2809,https://www.naver.com
